2026-06-24 04:51:32 configure ruby-ffi:amd64 1.17.4+dfsg-1 <none>
2026-06-24 04:51:32 status unpacked ruby-ffi:amd64 1.17.4+dfsg-1
2026-06-24 04:51:32 status half-configured ruby-ffi:amd64 1.17.4+dfsg-1
2026-06-24 04:51:32 status installed ruby-ffi:amd64 1.17.4+dfsg-1
2026-06-24 04:51:32 configure ruby-nokogiri:amd64 1.19.1+dfsg-1 <none>
2026-06-24 04:51:32 status unpacked ruby-nokogiri:amd64 1.19.1+dfsg-1
2026-06-24 04:51:32 status half-configured ruby-nokogiri:amd64 1.19.1+dfsg-1
2026-06-24 04:51:32 status installed ruby-nokogiri:amd64 1.19.1+dfsg-1
2026-06-24 04:51:32 configure ruby-tzinfo:all 2.0.6-1 <none>
2026-06-24 04:51:32 status unpacked ruby-tzinfo:all 2.0.6-1
2026-06-24 04:51:32 status half-configured ruby-tzinfo:all 2.0.6-1
2026-06-24 04:51:32 status installed ruby-tzinfo:all 2.0.6-1
2026-06-24 04:51:32 configure ruby-activesupport:all 2:7.2.3.1+dfsg-1 <none>
2026-06-24 04:51:32 status unpacked ruby-activesupport:all 2:7.2.3.1+dfsg-1
2026-06-24 04:51:32 status half-configured ruby-activesupport:all 2:7.2.3.1+dfsg-1
2026-06-24 04:51:32 status installed ruby-activesupport:all 2:7.2.3.1+dfsg-1
2026-06-24 04:51:32 configure ruby-opt-parse-validator:all 1.10.1-0kali1 <none>
2026-06-24 04:51:32 status unpacked ruby-opt-parse-validator:all 1.10.1-0kali1
2026-06-24 04:51:32 status half-configured ruby-opt-parse-validator:all 1.10.1-0kali1
2026-06-24 04:51:32 status installed ruby-opt-parse-validator:all 1.10.1-0kali1
2026-06-24 04:51:32 configure ruby-get-process-mem:all 1.0.0-1 <none>
2026-06-24 04:51:32 status unpacked ruby-get-process-mem:all 1.0.0-1
2026-06-24 04:51:32 status half-configured ruby-get-process-mem:all 1.0.0-1
2026-06-24 04:51:32 status installed ruby-get-process-mem:all 1.0.0-1
2026-06-24 04:51:32 configure ruby-mime-types:all 3.7.0-1 <none>
2026-06-24 04:51:32 status unpacked ruby-mime-types:all 3.7.0-1
2026-06-24 04:51:32 status half-configured ruby-mime-types:all 3.7.0-1
2026-06-24 04:51:32 status installed ruby-mime-types:all 3.7.0-1
2026-06-24 04:51:32 configure ruby-ethon:all 0.18.0-2 <none>
2026-06-24 04:51:32 status unpacked ruby-ethon:all 0.18.0-2
2026-06-24 04:51:32 status half-configured ruby-ethon:all 0.18.0-2
2026-06-24 04:51:32 status installed ruby-ethon:all 0.18.0-2
2026-06-24 04:51:32 configure ruby-typhoeus:all 1.6.0-1 <none>
2026-06-24 04:51:32 status unpacked ruby-typhoeus:all 1.6.0-1
2026-06-24 04:51:32 status half-configured ruby-typhoeus:all 1.6.0-1
2026-06-24 04:51:32 status installed ruby-typhoeus:all 1.6.0-1
2026-06-24 04:51:32 configure ruby-cms-scanner:all 0.15.0-0kali3 <none>
2026-06-24 04:51:32 status unpacked ruby-cms-scanner:all 0.15.0-0kali3
2026-06-24 04:51:32 status half-configured ruby-cms-scanner:all 0.15.0-0kali3
2026-06-24 04:51:32 status installed ruby-cms-scanner:all 0.15.0-0kali3
2026-06-24 04:51:32 configure wpscan:all 3.8.28-0kali1 <none>
2026-06-24 04:51:32 status unpacked wpscan:all 3.8.28-0kali1
2026-06-24 04:51:32 status half-configured wpscan:all 3.8.28-0kali1
2026-06-24 04:51:32 status installed wpscan:all 3.8.28-0kali1
2026-06-24 04:51:33 trigproc man-db:amd64 2.13.1-1 <none>
2026-06-24 04:51:33 status half-configured man-db:amd64 2.13.1-1
2026-06-24 04:51:40 status installed man-db:amd64 2.13.1-1
2026-06-24 04:51:40 trigproc kali-menu:all 2026.1.5 <none>
2026-06-24 04:51:40 status half-configured kali-menu:all 2026.1.5
2026-06-24 04:51:45 status installed kali-menu:all 2026.1.5
2026-06-30 02:54:46 startup archives unpack
2026-06-30 02:54:48 upgrade tree:amd64 2.3.1-1 2.3.2-1
2026-06-30 02:54:48 status half-configured tree:amd64 2.3.1-1
2026-06-30 02:54:48 status unpacked tree:amd64 2.3.1-1
2026-06-30 02:54:48 status half-installed tree:amd64 2.3.1-1
2026-06-30 02:54:48 status triggers-pending kali-menu:all 2026.1.5
2026-06-30 02:54:48 status triggers-pending man-db:amd64 2.13.1-1
2026-06-30 02:54:48 status unpacked tree:amd64 2.3.2-1
2026-06-30 02:54:48 startup packages configure
2026-06-30 02:54:48 configure tree:amd64 2.3.2-1 <none>
2026-06-30 02:54:48 status unpacked tree:amd64 2.3.2-1
2026-06-30 02:54:49 status half-configured tree:amd64 2.3.2-1
2026-06-30 02:54:49 status installed tree:amd64 2.3.2-1
2026-06-30 02:54:49 trigproc man-db:amd64 2.13.1-1 <none>
2026-06-30 02:54:49 status half-configured man-db:amd64 2.13.1-1
2026-06-30 02:54:54 status installed man-db:amd64 2.13.1-1
2026-06-30 02:54:54 trigproc kali-menu:all 2026.1.5 <none>
2026-06-30 02:54:54 status half-configured kali-menu:all 2026.1.5
2026-06-30 02:54:58 status installed kali-menu:all 2026.1.5
